SEQN,cycle,RIDAGEYR,sub_cluster_id
56,1999-2000,21.0,-1
57,1999-2000,39.0,-1
77,1999-2000,25.0,1
121,1999-2000,38.0,1
126,1999-2000,33.0,-1
132,1999-2000,41.0,1
162,1999-2000,63.0,-1
169,1999-2000,23.0,1
190,1999-2000,65.0,-1
191,1999-2000,69.0,-1
193,1999-2000,38.0,-1
223,1999-2000,47.0,1
236,1999-2000,45.0,1
250,1999-2000,58.0,1
272,1999-2000,56.0,-1
296,1999-2000,57.0,-1
333,1999-2000,42.0,-1
334,1999-2000,58.0,1
339,1999-2000,50.0,1
374,1999-2000,53.0,-1
399,1999-2000,38.0,1
426,1999-2000,45.0,1
429,1999-2000,43.0,1
434,1999-2000,58.0,-1
437,1999-2000,56.0,1
443,1999-2000,53.0,-1
446,1999-2000,32.0,1
447,1999-2000,65.0,-1
468,1999-2000,33.0,-1
469,1999-2000,66.0,1
477,1999-2000,51.0,1
481,1999-2000,63.0,1
493,1999-2000,66.0,-1
504,1999-2000,32.0,1
505,1999-2000,60.0,-1
514,1999-2000,20.0,1
522,1999-2000,51.0,1
532,1999-2000,40.0,1
537,1999-2000,41.0,-1
543,1999-2000,36.0,1
551,1999-2000,53.0,1
554,1999-2000,27.0,1
560,1999-2000,66.0,-1
570,1999-2000,51.0,-1
577,1999-2000,22.0,1
582,1999-2000,26.0,1
588,1999-2000,39.0,1
595,1999-2000,34.0,1
602,1999-2000,28.0,1
613,1999-2000,69.0,1
627,1999-2000,61.0,1
652,1999-2000,54.0,1
655,1999-2000,69.0,1
676,1999-2000,29.0,-1
678,1999-2000,61.0,1
686,1999-2000,39.0,-1
714,1999-2000,47.0,-1
727,1999-2000,32.0,1
729,1999-2000,68.0,1
731,1999-2000,62.0,-1
761,1999-2000,67.0,-1
764,1999-2000,39.0,1
770,1999-2000,27.0,-1
776,1999-2000,45.0,1
781,1999-2000,43.0,1
782,1999-2000,61.0,1
803,1999-2000,41.0,-1
804,1999-2000,50.0,1
816,1999-2000,44.0,-1
828,1999-2000,65.0,1
835,1999-2000,51.0,1
840,1999-2000,54.0,-1
858,1999-2000,50.0,1
871,1999-2000,68.0,1
883,1999-2000,52.0,-1
884,1999-2000,25.0,-1
886,1999-2000,45.0,1
896,1999-2000,41.0,1
897,1999-2000,54.0,1
909,1999-2000,40.0,1
944,1999-2000,54.0,1
949,1999-2000,67.0,1
962,1999-2000,51.0,1
964,1999-2000,62.0,1
978,1999-2000,44.0,1
987,1999-2000,66.0,-1
999,1999-2000,64.0,1
1009,1999-2000,39.0,-1
1028,1999-2000,46.0,1
1029,1999-2000,68.0,1
1030,1999-2000,69.0,-1
1031,1999-2000,65.0,1
1032,1999-2000,51.0,-1
1033,1999-2000,45.0,-1
1090,1999-2000,45.0,-1
1127,1999-2000,28.0,1
1179,1999-2000,60.0,1
1183,1999-2000,32.0,1
1210,1999-2000,56.0,1
1244,1999-2000,66.0,-1
1252,1999-2000,42.0,1
1253,1999-2000,47.0,1
1255,1999-2000,68.0,1
1268,1999-2000,67.0,1
1282,1999-2000,45.0,-1
